,Unnamed: 0,is_fire,first-hand-pt-1-x,first-hand-pt-1-y,first-hand-pt-1-z,first-hand-pt-2-x,first-hand-pt-2-y,first-hand-pt-2-z,first-hand-pt-3-x,first-hand-pt-3-y,first-hand-pt-3-z,first-hand-pt-4-x,first-hand-pt-4-y,first-hand-pt-4-z,second-hand-pt-1-x,second-hand-pt-1-y,second-hand-pt-1-z,second-hand-pt-2-x,second-hand-pt-2-y,second-hand-pt-2-z,second-hand-pt-3-x,second-hand-pt-3-y,second-hand-pt-3-z,second-hand-pt-4-x,second-hand-pt-4-y,second-hand-pt-4-z
2005,,1,0.20570850372314453,0.23034463822841644,-0.012737699784338474,0.2218407541513443,0.16854381561279297,-0.02318526618182659,0.23045828938484192,0.1259879618883133,-0.033031679689884186,0.2339000105857849,0.09206870943307877,-0.041651804000139236,0.6122632026672363,0.30564895272254944,-0.007933359593153,0.5969613194465637,0.23089179396629333,-0.014504441991448402,0.5873705148696899,0.17761769890785217,-0.020457414910197258,0.5707604885101318,0.140880286693573,-0.023264436051249504
2006,,1,0.21533752977848053,0.2158895879983902,-0.012364919297397137,0.23048241436481476,0.14917485415935516,-0.022114679217338562,0.23945751786231995,0.10292822867631912,-0.0316338837146759,0.247677743434906,0.06855364888906479,-0.038289010524749756,0.6318854689598083,0.2690579295158386,0.021878672763705254,0.6199964880943298,0.2070692777633667,0.009311804547905922,0.6089260578155518,0.15545210242271423,-0.010027541778981686,0.5881081819534302,0.11492179334163666,-0.028819704428315163
2007,,1,0.21664147078990936,0.21075984835624695,-0.008418111130595207,0.2344629466533661,0.14364616572856903,-0.018015487119555473,0.24440248310565948,0.09663879871368408,-0.028272349387407303,0.2478013038635254,0.06219702214002609,-0.034893181174993515,0.6339400410652161,0.27462244033813477,-0.0005731257842853665,0.6215870976448059,0.20194602012634277,-0.008988376706838608,0.6138195991516113,0.1507951021194458,-0.018795864656567574,0.5954415798187256,0.11163663864135742,-0.026523321866989136
2008,,1,0.22052417695522308,0.21128550171852112,-0.009548649191856384,0.23633290827274323,0.1410258710384369,-0.018260961398482323,0.24578949809074402,0.09285786002874374,-0.02738015539944172,0.251533180475235,0.05542941391468048,-0.0320432111620903,0.6439462900161743,0.2575222849845886,0.01245629321783781,0.6325164437294006,0.19526362419128418,-0.002691596746444702,0.623945951461792,0.14578726887702942,-0.023190291598439217,0.6044710278511047,0.11002802103757858,-0.04253803938627243
2009,,1,0.22217196226119995,0.2122739553451538,-0.005456540267914534,0.2381461262702942,0.1440972238779068,-0.01410786621272564,0.24788936972618103,0.0950421690940857,-0.024381015449762344,0.2545973062515259,0.05690889060497284,-0.030989021062850952,0.647725522518158,0.2623351216316223,0.0051578800193965435,0.6383541226387024,0.197996586561203,-0.008010328747332096,0.6309330463409424,0.15068554878234863,-0.024439513683319092,0.6121340394020081,0.11257655918598175,-0.03932267427444458
2010,,1,0.2238931506872177,0.22424626350402832,-0.006135547999292612,0.24128186702728271,0.1495915949344635,-0.012198018841445446,0.251209557056427,0.0994870662689209,-0.019416147843003273,0.261061429977417,0.06169752776622772,-0.023353328928351402,0.6592403054237366,0.2618829607963562,0.01225284580141306,0.649712085723877,0.20197056233882904,-0.004326376598328352,0.6419287323951721,0.15535488724708557,-0.02576809749007225,0.622008740901947,0.12004917860031128,-0.045843515545129776
2011,,1,0.23018862307071686,0.22752565145492554,-0.005079582333564758,0.24682554602622986,0.15702857077121735,-0.011892569251358509,0.2559036910533905,0.10855984687805176,-0.019649580121040344,0.2638392150402069,0.0728377029299736,-0.024514060467481613,0.6570322513580322,0.2730989158153534,-0.004245169926434755,0.6511879563331604,0.20744962990283966,-0.01504949014633894,0.6463629603385925,0.16177716851234436,-0.026818186044692993,0.6307377219200134,0.12976115942001343,-0.03611792251467705
2012,,1,0.24870045483112335,0.24854671955108643,-0.01182010117918253,0.26507070660591125,0.18539848923683167,-0.021111493930220604,0.27263951301574707,0.14173901081085205,-0.0302214864641428,0.28049272298812866,0.10919705033302307,-0.037299614399671555,0.6707243323326111,0.30605366826057434,-0.007879815064370632,0.666570782661438,0.23519068956375122,-0.017517998814582825,0.6623187065124512,0.18749728798866272,-0.026877524331212044,0.6475337147712708,0.1569758504629135,-0.03293653577566147
2013,,1,0.25761809945106506,0.26598942279815674,-0.010473635047674179,0.27371442317962646,0.20553402602672577,-0.017737526446580887,0.28084883093833923,0.1641869693994522,-0.025096837431192398,0.28914400935173035,0.12798133492469788,-0.030588867142796516,0.6773970723152161,0.3307163417339325,-0.004709472414106131,0.6719450950622559,0.25653594732284546,-0.013846863061189651,0.6683570146560669,0.20610448718070984,-0.024092068895697594,0.6533288955688477,0.17054900527000427,-0.03132287785410881
2014,,1,0.2638866901397705,0.270109623670578,-0.017378507182002068,0.285673052072525,0.21842557191848755,-0.02794370800256729,0.29727038741111755,0.1787615567445755,-0.03693592920899391,0.2997134327888489,0.14175647497177124,-0.043699804693460464,0.6832683086395264,0.3389025628566742,-0.005562502425163984,0.6760339736938477,0.2668111026287079,-0.016635343432426453,0.673768937587738,0.21686780452728271,-0.02880394458770752,0.6601344347000122,0.18421870470046997,-0.03799331560730934
2015,,1,0.2665528357028961,0.2868449091911316,-0.0151087436825037,0.29194483160972595,0.22940808534622192,-0.02472902461886406,0.30790072679519653,0.1889403611421585,-0.033413562923669815,0.310610294342041,0.154593825340271,-0.03974798321723938,0.689845085144043,0.33864420652389526,-0.003394222352653742,0.683340311050415,0.2715781331062317,-0.020550761371850967,0.6799426078796387,0.22390511631965637,-0.039201173931360245,0.6638685464859009,0.19442451000213623,-0.05540458858013153
2016,,1,0.25243428349494934,0.29773062467575073,-0.01520280446857214,0.2857494056224823,0.23281364142894745,-0.026123354211449623,0.313120573759079,0.1941663771867752,-0.03570807725191116,0.3302041292190552,0.16758187115192413,-0.04244987294077873,0.6900296211242676,0.34636831283569336,-0.011736041866242886,0.687218427658081,0.2763524353504181,-0.025263676419854164,0.6861270070075989,0.2284761369228363,-0.03780536353588104,0.6722894310951233,0.20189058780670166,-0.047662828117609024
